LossAfter,IRLMedianLogQtau,ExplainedVariance,IRLLoss,ItrTime,NumTrajs,AverageDiscountedReturn,LossBefore,AveragePolicyStd,IRLAverageExpertEnergy,IRLAverageEnergy,Time,MeanKLBefore,EnvExecTime,AverageReturn,Iteration,MaxReturn,OriginalTaskAverageReturn,IRLRewardMean,IRLRewardMax,Entropy,dLoss,Perplexity,IRLMedianExpertLogQtau,IRLAverageExpertLogQtau,PolicyExecTime,IRLRewardMin,MeanKL,StdReturn,IRLAverageLogQtau,MinReturn,ProcessExecTime
-0.024299122393131256,0.2786255,0.6688022521039696,0.41577235,0.651045560836792,10,-84.06001121723381,0.001105840434320271,0.23930958,0.8296779,1.1733708,555.5706238746643,0.0,0.03424406051635742,-117.3370868563652,818,-51.8522609770298,-228.53340980469483,-1.1733708,0.0022987425,-0.011058569,0.025404962827451527,0.98900235,-2.3260093,-7.388149,0.04402613639831543,-4.8902726,0.006457086652517319,37.275930900807346,-0.018338319,-189.1134009361267,0.005787849426269531
-0.042180389165878296,0.28145182,0.743026858724815,0.4509193,0.655043363571167,10,-67.8322936041918,0.0017121245618909597,0.23786311,0.8327261,0.96755105,556.2350647449493,0.0,0.033440589904785156,-96.75510204434394,819,-47.93917292356491,-166.86844020726565,-0.96755105,0.18456969,-0.017121315,0.043892513727769256,0.9830244,-2.3499737,-7.466129,0.042649030685424805,-4.3364244,0.009840997867286205,37.87039233848563,0.0098572895,-177.310320854187,0.0056421756744384766
-0.03145378828048706,0.23972079,0.612827970298249,0.45069763,0.6445162296295166,10,-72.80749366234338,0.0013348389184102416,0.23876233,0.8287584,0.9904963,556.8883581161499,0.0,0.03315258026123047,-99.04963085055351,820,-48.461686968803406,-180.14315003417315,-0.9904963,0.18513678,-0.013348341,0.0327886271988973,0.98674035,-2.3345103,-7.3856473,0.04983043670654297,-3.661267,0.0064864507876336575,24.839512045576253,0.0014700382,-129.80858263373375,0.005719661712646484
-0.017825840041041374,0.2908908,0.9018507837740973,0.45435128,0.6450889110565186,10,-69.03334158241705,0.002569476841017604,0.23583245,0.8373047,0.9629181,557.5418739318848,0.0,0.03475499153137207,-96.29180438816547,821,-53.83860886096954,-169.52177698565006,-0.9629181,-0.043891072,-0.025694964,0.020395316882058978,0.9746323,-2.3904562,-7.500226,0.043593406677246094,-3.676756,0.006590037140995264,24.541299630743445,0.030378705,-126.26953172683716,0.005624055862426758
-0.04362811520695686,0.3100208,0.9527356771507085,0.46046942,0.6580893993377686,10,-64.13205496172237,0.004167444072663784,0.23209399,0.8700011,0.9100889,558.2073101997375,0.0,0.03409171104431152,-91.00888912677765,822,-64.08779889345169,-144.2414269628737,-0.9100889,0.00070138276,-0.04167438,0.04779555927962065,0.9591821,-2.4519396,-7.6483927,0.043375253677368164,-4.0225167,0.0065339552238583565,13.7185458174928,0.06359524,-114.03212374448776,0.005656003952026367
-0.029358794912695885,0.2951389,0.8476344323395011,0.4475912,0.7175469398498535,10,-71.75273943726356,0.004363997373729944,0.2316382,0.8493634,1.0017227,558.9369356632233,0.0,0.03286409378051758,-100.17227264642716,823,-73.12052881717682,-171.03389653578054,-1.0017227,0.006580174,-0.043639902,0.03372279228642583,0.95729864,-2.4631984,-7.646181,0.04246020317077637,-3.731328,0.009936805814504623,19.312608201702552,0.010345283,-144.60774767398834,0.005693912506103516
-0.029308468103408813,0.337582,0.8662966147488058,0.42019597,0.6556534767150879,10,-79.6497740695719,0.004218189511448145,0.23197626,0.718519,1.0600673,559.6008868217468,0.0,0.03530120849609375,-106.00672475099563,824,-68.52975434064865,-226.80420103900096,-1.0600673,0.07702318,-0.042181846,0.03352665761485696,0.9586954,-2.4546232,-7.631422,0.04300403594970703,-4.1894307,0.009698797948658466,19.39588948266344,0.07236336,-140.85001781582832,0.006103992462158203
-0.02440783381462097,0.3023206,0.8934935421556516,0.44370586,0.6645998954772949,10,-72.88780830199997,0.003441095585003495,0.2337859,1.0381491,1.0519887,560.273992061615,0.0,0.03375077247619629,-105.1988708794117,825,-79.5018659234047,-130.08180800272154,-1.0519887,-0.2761867,-0.034410834,0.027848929399624467,0.9661745,-2.412198,-7.4680395,0.04145407676696777,-3.8715727,0.0065198540687561035,20.183527322922117,0.03179122,-144.03471410274506,0.006413698196411133
-0.03436421975493431,0.33233833,0.9441027735792246,0.43634424,0.6520802974700928,10,-72.78829447849412,0.0050623067654669285,0.23002626,0.9054075,1.0233061,560.9331655502319,0.0,0.03241729736328125,-102.33061238527299,826,-65.00986497104168,-148.63421265073384,-1.0233061,-0.11994617,-0.050623063,0.03942652652040124,0.9506369,-2.476087,-7.708123,0.04186296463012695,-3.7644637,0.006633342709392309,17.51127017361179,0.03701682,-126.24798220396042,0.005666255950927734
-0.02337389811873436,0.31795907,0.9211387371400006,0.43022832,0.6496477127075195,10,-72.182826071469,0.004339791368693113,0.23169428,0.863067,1.0198194,561.5932836532593,0.0,0.033567190170288086,-101.98193363547325,827,-71.26002630591393,-169.35454059932653,-1.0198194,0.008913279,-0.043397903,0.027713689487427473,0.9575303,-2.4457586,-7.557136,0.04296565055847168,-4.017736,0.006502564065158367,20.74464236583911,0.057470728,-144.94336053729057,0.00647425651550293
