Iteration,IRLRewardMax,EnvExecTime,ProcessExecTime,AbsLearnSignal,LossBefore,MeanKLBefore,MeanKL,Time,IRLMedianLogQtau,IRLAverageExpertEnergy,AveragePolicyStd,ExplainedVariance,AverageReturn,Entropy,AverageDiscountedReturn,IRLAverageLogQtau,Perplexity,MinReturn,IRLAverageExpertLogQtau,LossAfter,OriginalTaskAverageReturn,IRLAverageEnergy,StdReturn,dLoss,IRLRewardMean,PolicyExecTime,IRLLoss,MaxReturn,IRLRewardMin,ItrTime,IRLMedianExpertLogQtau,NumTrajs
30,0.87533206,0.026729106903076172,0.005024433135986328,0.7522849583637178,-0.12407687,0.0,0.008621634,43.63605213165283,-0.9529298,0.38727808,0.83680046,0.8291048452739036,-244.52006837129593,1.2407687,-161.78450277120197,-1.2276278,3.4582708,-361.0208492279053,-1.9920522,-0.14324796,-574.8000292705784,2.4452007,55.555146652028085,0.019171089,-2.4452007,0.05321192741394043,0.42360365,-183.3989464789629,-5.4447327,1.3353281021118164,-1.2671245,10
31,1.5469965,0.03240704536437988,0.005708217620849609,0.7999295334256165,-0.122515015,0.0,0.008399713,45.052326679229736,-0.9437326,-0.52983046,0.82383245,0.9408884871138723,-236.6293165884912,1.2251503,-152.87767908525444,-1.2146726,3.4046779,-283.6847769021988,-2.078253,-0.13362746,-582.2223441176741,2.3662932,25.973171342888627,0.011112444,-2.3662932,0.08718085289001465,0.3914828,-202.35644830018282,-4.736574,1.4103009700775146,-1.3098747,10
32,2.1008706,0.02848649024963379,0.005404233932495117,0.7295141538183223,-0.120146036,0.0,0.0088758,46.4777455329895,-0.91680753,-0.1361778,0.80454534,0.9236574272519472,-246.88154963850974,1.2014601,-161.52443092882075,-1.1957139,3.3249683,-293.7571986913681,-2.057474,-0.1424123,-588.9102419340919,2.4688153,32.405542100059314,0.022266269,-2.4688153,0.05530261993408203,0.39763162,-196.9443918466568,-4.772099,1.4188122749328613,-1.2741094,10
33,1.8920671,0.027539491653442383,0.005477428436279297,0.6783124468965489,-0.11833526,0.0,0.008212808,47.89876055717468,-0.91085315,0.44844243,0.7901078,0.7730724550971574,-236.18245771378278,1.1833528,-144.75246797656354,-1.1717339,3.2653039,-270.4199169874191,-1.9740734,-0.13564114,-550.414224034985,2.3618248,39.18047724002594,0.01730588,-2.3618248,0.05761003494262695,0.45843354,-153.63778668642044,-4.003849,1.4131975173950195,-1.1962006,10
34,2.1466746,0.030228376388549805,0.006463527679443359,0.8010378969126755,-0.11889751,0.0,0.007395507,49.30491924285889,-0.90584445,-0.25641757,0.7945626,0.9449369533916043,-236.56788380295038,1.1889751,-151.05466513336694,-1.1675242,3.283714,-246.3665691614151,-1.9217554,-0.13129897,-577.2466278638033,2.3656788,8.716211137575087,0.012401462,-2.3656788,0.06628060340881348,0.42873782,-215.9996266514063,-3.9292212,1.396216630935669,-1.1735785,10
35,2.6551385,0.027393579483032227,0.005038261413574219,0.7794954253510554,-0.115874544,0.0,0.0067364885,50.73164200782776,-0.8796285,-0.2533576,0.7709027,0.8592971330675556,-241.9145808711648,1.1587456,-152.1734656029721,-1.1188061,3.1859345,-281.0286420583725,-1.9679122,-0.13376315,-600.6633937132235,2.4191458,34.01936136996591,0.017888606,-2.4191458,0.05590939521789551,0.39553487,-174.99368216097355,-4.51953,1.4210972785949707,-1.1679049,10
36,0.76027274,0.026539087295532227,0.0048635005950927734,0.7971926030737344,-0.115868814,0.0,0.0062575173,52.1155469417572,-0.9120914,-0.8245836,0.7708585,0.9553451701493971,-259.4939892590046,1.1586877,-163.61985610001238,-1.1448035,3.18575,-288.25539672374725,-2.0045602,-0.13241652,-627.1421761927766,2.5949397,28.92767232193676,0.016547702,-2.5949397,0.054198265075683594,0.37326372,-216.04674434661865,-4.410468,1.378218650817871,-1.1846061,10
37,1.5802891,0.026540517807006836,0.0058400630950927734,0.7503511637447728,-0.11492609,0.0,0.007581062,53.534504413604736,-0.8785878,-0.8674645,0.76362574,0.9214542465646933,-247.20313547849656,1.1492609,-154.57999840843578,-1.1207339,3.1558595,-284.75256502628326,-2.0789948,-0.13377555,-610.7108200377363,2.4720316,37.27547165923783,0.018849455,-2.4720316,0.054596900939941406,0.36004665,-179.09409654140472,-3.9965928,1.4106371402740479,-1.2217782,10
38,1.4014095,0.0261228084564209,0.0049436092376708984,0.8210288567489578,-0.113103434,0.0,0.0069250595,54.96995568275452,-0.87131333,-0.52513206,0.74983335,0.6698651497534999,-248.8817189708352,1.1310346,-155.76945032750623,-1.1560054,3.098861,-295.8575208187103,-2.2727356,-0.12553973,-625.9789775157902,2.4888175,40.353683903539306,0.0124363005,-2.4888175,0.05491137504577637,0.38798845,-163.79372943937778,-5.410642,1.4286320209503174,-1.3265533,10
39,1.8303238,0.026022911071777344,0.004778861999511719,0.8979780078396894,-0.11197409,0.0,0.005947895,56.332889795303345,-0.8491125,-1.0283812,0.7414128,0.8570352821438889,-237.0291559666395,1.1197406,-150.77653970689894,-1.122279,3.0640593,-290.7127401828766,-2.3372657,-0.12159585,-650.1933695709073,2.3702915,24.178768821272655,0.009621762,-2.3702915,0.05458331108093262,0.34642264,-209.67621284723282,-3.9437807,1.3568780422210693,-1.3511416,10
