AverageDiscountedReturn,AveragePolicyStd,AbsLearnSignal,Time,Perplexity,MeanKLBefore,Entropy,AverageReturn,StdReturn,Iteration,LossAfter,LossBefore,dLoss,ProcessExecTime,PolicyExecTime,EnvExecTime,ExplainedVariance,OriginalTaskAverageReturn,NumTrajs,MinReturn,IRLLoss,MeanKL,MaxReturn,ItrTime
nan,1.0431066,nan,1307.6172013282776,18.579548,0.0,2.9220614,nan,nan,65,nan,nan,nan,0.0016129016876220703,0.10383033752441406,12.906493186950684,nan,nan,1,nan,0.09486129,0.0,nan,18.104029655456543
nan,1.0431066,nan,1325.5216023921967,18.579548,0.0,2.9220614,nan,nan,66,nan,nan,nan,0.0016243457794189453,0.10018467903137207,12.663094520568848,nan,nan,1,nan,0.14362353,0.0,nan,17.90045666694641
-205.54250401039386,1.0431066,nan,1343.9306042194366,18.579548,0.0,2.9220614,-310.10908448696136,0.0,67,nan,nan,nan,0.0016908645629882812,0.11652565002441406,13.218929767608643,nan,14.068709730294138,1,-310.10908448696136,0.2919292,0.0,-310.10908448696136,18.40459704399109
-560.0294392077916,1.0431066,0.7524122948635351,1361.6769382953644,18.579548,0.0,2.9220614,-805.5836046636105,0.0,68,-0.06258485,-3.1789146e-08,0.06258482,0.0015573501586914062,0.1092522144317627,12.578161478042603,0.17413612891308428,6.984237942447094,1,-805.5836046636105,0.09755272,0.008688627,-805.5836046636105,17.742197275161743
nan,1.0335851,nan,1379.8005001544952,18.236158,0.0,2.9034064,nan,nan,69,nan,nan,nan,0.0016047954559326172,0.11031603813171387,12.78158450126648,nan,nan,1,nan,0.08464864,0.0,nan,18.11929988861084
nan,1.0335851,nan,1397.7843542099,18.236158,0.0,2.9034064,nan,nan,70,nan,nan,nan,0.0016200542449951172,0.09513378143310547,12.727776050567627,nan,nan,1,nan,0.08374487,0.0,nan,17.979509592056274
-500.625006713671,1.0335851,nan,1415.9490249156952,18.236158,0.0,2.9034064,-726.2561104297638,0.0,71,nan,nan,nan,0.001596689224243164,0.1080636978149414,12.88514494895935,nan,8.596094119462107,1,-726.2561104297638,0.08134232,0.0,-726.2561104297638,18.160085439682007
nan,1.0335851,nan,1434.2548096179962,18.236158,0.0,2.9034064,nan,nan,72,nan,nan,nan,0.0016434192657470703,0.11320066452026367,13.103567600250244,nan,nan,1,nan,0.41968864,0.0,nan,18.300421237945557
-385.30296988123814,1.0335851,nan,1452.5235979557037,18.236158,0.0,2.9034064,-574.767683506012,0.0,73,nan,nan,nan,0.0016193389892578125,0.11452651023864746,13.069222688674927,nan,9.83634631738233,1,-574.767683506012,0.12809128,0.0,-574.767683506012,18.264894008636475
-506.9624500010251,1.0335851,0.8350963704200237,1470.4132096767426,18.236158,0.0,2.9034064,-738.5924824476242,0.0,74,-0.05768671,-3.1789146e-08,0.057686675,0.0015788078308105469,0.10493612289428711,12.740728616714478,-12.03811160068347,7.577291147605379,1,-738.5924824476242,0.13556021,0.008962306,-738.5924824476242,17.88378930091858
-403.08192542021123,1.0163993,0.7763773397972539,1488.548173904419,17.643229,0.0,2.870352,-593.6708147525787,0.0,75,-0.05921685,-3.1789146e-08,0.059216816,0.0016243457794189453,0.11102938652038574,12.997461557388306,-4.319169848451342,9.728020424799125,1,-593.6708147525787,0.1116148,0.0094497595,-593.6708147525787,18.13099193572998
nan,0.9874642,nan,1506.4833290576935,16.651804,0.0,2.8125186,nan,nan,76,nan,nan,nan,0.0015742778778076172,0.1039881706237793,12.786572933197021,nan,nan,1,nan,0.16761957,0.0,nan,17.93073534965515
-447.2104564347614,0.9874642,nan,1524.3279962539673,16.651804,0.0,2.8125186,-659.2814464569092,0.0,77,nan,nan,nan,0.0015757083892822266,0.09808039665222168,12.58719778060913,nan,7.396867666315618,1,-659.2814464569092,0.16970003,0.0,-659.2814464569092,17.840800523757935
