IRLMedianLogQtau,ExplainedVariance,OriginalTaskAverageReturn,ProcessExecTime,EnvExecTime,AveragePolicyStd,Entropy,Perplexity,IRLAverageEnergy,IRLRewardMean,IRLAverageLogQtau,NumTrajs,IRLRewardMin,IRLLoss,LossAfter,PolicyExecTime,Iteration,IRLMedianExpertLogQtau,MaxReturn,Time,StdReturn,LossBefore,MeanKLBefore,AverageReturn,MeanKL,IRLAverageExpertEnergy,MinReturn,IRLAverageExpertLogQtau,ItrTime,dLoss,IRLRewardMax,AverageDiscountedReturn
-1.0628233,0.9351307602267838,-598.8886697605964,0.0054168701171875,0.03298783302307129,0.9109462,1.3256671,3.7646961,4.171275,-4.171275,-1.3133355,10,-8.557198,0.17700705,-0.1544085443019867,0.04712939262390137,44,-1.0644759,-352.18601846694946,14.32222843170166,41.390597230844094,-0.13256670534610748,0.0,-417.1274919867516,0.006377263925969601,-2.3575337,-491.45521235466003,-1.5017365,0.3095412254333496,0.02184183895587921,0.79180086,-256.5647620596495
-1.0525799,0.9534632953091664,-540.1285899625643,0.005373239517211914,0.03222084045410156,0.9187345,1.3341804,3.7968826,4.2003202,-4.2003202,-1.3560693,10,-8.740529,0.22009733,-0.15501348674297333,0.04123687744140625,45,-1.0801973,-362.05846282094717,14.600098133087158,37.582037556706716,-0.1334180235862732,0.0,-420.03204068690536,0.00728570157662034,-1.2203084,-493.1267042160034,-1.5094159,0.2670595645904541,0.021595463156700134,1.381791,-257.22387655997557
-1.051097,0.8973587949644544,-603.7738446709349,0.005760908126831055,0.035065650939941406,0.9160416,1.3312453,3.785755,4.2882047,-4.2882047,-1.3123537,10,-7.9460316,0.1902672,-0.15721960365772247,0.04353809356689453,46,-1.039233,-315.48507475852966,14.888956069946289,76.93246587745588,-0.13312454521656036,0.0,-428.8204845122993,0.007475364487618208,-2.2626655,-552.6136119365692,-1.4530787,0.2812349796295166,0.02409505844116211,2.9454246,-260.51628150816487
-1.0780134,0.910870734218805,-575.9617430284648,0.005790233612060547,0.03492927551269531,0.91804224,1.3334267,3.794022,4.39537,-4.39537,-1.3404981,10,-9.493951,0.1883976,-0.15042059123516083,0.05124020576477051,47,-1.0522997,-337.94609332084656,15.20345425605774,64.9679526983566,-0.1333426684141159,0.0,-439.5370338767767,0.007701541297137737,-2.035335,-535.7661439180374,-1.4613422,0.30695366859436035,0.017077922821044922,2.0763688,-267.5719054432169
-1.0733289,0.9096478770913278,-557.6716027647278,0.005333423614501953,0.0314784049987793,0.9287641,1.3450376,3.8383307,4.3266525,-4.3266525,-1.3703396,10,-8.273447,0.2021053,-0.16556750237941742,0.04372763633728027,48,-1.0810559,-338.1822633743286,15.492288827896118,81.20985297944583,-0.1345037817955017,0.0,-432.6652475595474,0.009022502228617668,-2.3375878,-574.4546291828156,-1.4872481,0.2771580219268799,0.03106372058391571,0.93098575,-267.12022563781375
-1.1033719,0.904258345949161,-578.6574473091321,0.0058405399322509766,0.03696393966674805,0.928426,1.3446739,3.836935,4.390158,-4.390158,-1.3813109,10,-8.393116,0.19294001,-0.16043084859848022,0.0466611385345459,49,-1.1747723,-347.3679577112198,15.790525436401367,64.56343910096376,-0.13446740806102753,0.0,-439.0158225148916,0.009435140527784824,-2.5002232,-544.5793962478638,-1.6362023,0.28962159156799316,0.025963440537452698,1.5704823,-265.57004681906994
-1.0842466,0.902125376118874,-568.8585108921247,0.005502462387084961,0.033080339431762695,0.9348538,1.3515738,3.8635013,3.766211,-3.766211,-1.3596821,10,-7.449218,0.2165947,-0.1600283682346344,0.042249202728271484,50,-1.0420094,-276.72316816449165,16.07252550125122,55.87009882238712,-0.13515733182430267,0.0,-376.6210692420602,0.009993378072977066,-1.9668819,-465.1878910064697,-1.4299443,0.2734196186065674,0.024871036410331726,3.1017764,-231.68320406111707
-1.107183,0.9397271917042332,-547.4736560541864,0.006597280502319336,0.03698444366455078,0.96572196,1.3840593,3.9910698,4.2776084,-4.2776084,-1.3909949,10,-8.787367,0.18186596,-0.15141738951206207,0.0453033447265625,51,-1.073115,-364.2282866239548,16.373629570007324,42.73347026448552,-0.1384059190750122,0.0,-427.7608446262777,0.006975156720727682,-2.4493954,-507.18393874168396,-1.4411516,0.29361748695373535,0.013011470437049866,0.61026317,-260.41553436071337
-1.0704236,0.9349527134678043,-547.4442512848352,0.007094144821166992,0.035512447357177734,0.9436664,1.3609561,3.8999202,3.9796119,-3.9796119,-1.3552747,10,-8.047454,0.2328866,-0.20751169323921204,0.04628133773803711,52,-1.0818799,-303.7383439093828,16.6801118850708,61.715271346112935,-0.1360955834388733,0.0,-397.9612037792802,0.008558250032365322,-1.3503162,-489.2373836040497,-1.4767992,0.2964458465576172,0.07141610980033875,2.5567765,-241.23929916020126
-1.128846,0.8037538800631965,-523.244776323752,0.005690813064575195,0.03716754913330078,0.9597756,1.3778827,3.9664946,4.089746,-4.089746,-1.4220686,10,-9.201367,0.26193744,-0.16209830343723297,0.04652762413024902,53,-1.0665562,-220.1436666548252,16.978047609329224,104.72739085123203,-0.13778826594352722,0.0,-408.9746106669307,0.008181479759514332,-1.0703723,-546.4014432430267,-1.4346875,0.28618502616882324,0.02431003749370575,2.8645492,-246.27193666897816
-1.1500857,0.8919427713610077,-565.5616843684763,0.00544285774230957,0.033951520919799805,0.9783639,1.3970648,4.0433145,4.3767276,-4.3767276,-1.3873057,10,-8.759027,0.18493597,-0.15550941228866577,0.04438948631286621,54,-1.0734665,-336.6696399599314,17.261792182922363,58.71571917406897,-0.13970647752285004,0.0,-437.6727660626173,0.006960450205951929,-1.7348112,-508.68145629763603,-1.4237972,0.2744898796081543,0.015802934765815735,1.3195131,-267.4449145652145
