AbsLearnSignal,ItrTime,Time,MeanKL,Entropy,Iteration,LossAfter,NumTrajs,MaxReturn,ProcessExecTime,EnvExecTime,AveragePolicyStd,MinReturn,AverageReturn,LossBefore,PolicyExecTime,dLoss,StdReturn,Perplexity,AverageDiscountedReturn,ExplainedVariance,MeanKLBefore
0.8760982709,25.8180160522,1294.9265742302,0.006910264,2.8297403,40,-0.06280292,1,-797.5138581636,0.002174139,20.7229506969,0.99869174,-797.5138581636,-797.5138581636,0.000000062,0.0981857777,0.06280298,0,16.941061,-497.5305192952,0.7939161808,0
0.8713899611,31.9590597153,1326.9282925129,0.008936399,2.8118327,41,-0.06909702,2,-357.3738181074,0.0024497509,26.7403891087,0.99117273,-382.1146098066,-369.744213957,-9.082613E-09,0.1142346859,0.06909701,12.3703958496,16.640387,-296.9958465007,0.8472314618,0
0.7851013911,39.8996024132,1366.8720972538,0.006893748,2.8094769,42,-0.048350785,2,-324.9610257702,0.0037069321,34.6449556351,0.99201864,-907.09208087,-616.0265533201,-2.5096693E-08,0.1548614502,0.04835076,291.0655275499,16.60123,-416.4573116615,-2.0800772528,0
0.9490739633,26.2783381939,1393.2098236084,0.008372165,2.8296604,43,-0.039139472,1,-912.735346173,0.0022752285,21.1325442791,1.0030171,-912.735346173,-912.735346173,3.8146972E-08,0.1073355675,0.03913951,0,16.939707,-558.8467363082,-0.821391026,0
0.8398188237,25.8950748444,1419.1506574154,0.009193618,2.814374,44,-0.064356185,1,-715.7377501231,0.0023112297,20.7946932316,0.9947739,-715.7377501231,-715.7377501231,1.9073486E-08,0.0984334946,0.06435621,0,16.682728,-459.6641946482,0.861130407,0
0.8709554394,26.2434647083,1445.4357218742,0.008125297,2.849094,45,-0.048223563,1,-530.4086597872,0.002266407,21.0418336391,1.0120475,-530.4086597872,-530.4086597872,-9.536743E-09,0.1001229286,0.04822355,0,17.272125,-366.9987370805,0.8664001375,0
0.8573572231,26.0414104462,1471.5191113949,0.009747123,2.8740985,46,-0.056919597,1,-642.8032747011,0.002307415,20.901458025,1.0237651,-642.8032747011,-642.8032747011,3.8146972E-08,0.099758625,0.056919634,0,17.709452,-423.4888031841,0.9591312757,0
0.8383271687,25.7369730473,1497.2976088524,0.0068092067,2.8940928,47,-0.059719477,1,-785.2538534848,0.0022022724,20.6642820835,1.0331016,-785.2538534848,-785.2538534848,-2.8610229E-08,0.0947980881,0.059719447,0,18.067104,-492.8002946885,0.9569112533,0
0.8555599424,25.7537763119,1523.1028571129,0.009075143,2.8937936,48,-0.031332016,1,-1070.768910794,0.0021941662,20.5319621563,1.0327561,-1070.768910794,-1070.768910794,1.9073486E-08,0.1011447906,0.031332035,0,18.061699,-653.9048667255,0.9180978627,0
0.9104765437,26.1403443813,1549.285166502,0.0071686353,2.8965976,49,-0.055245142,1,-596.6700354261,0.0022337437,21.0077073574,1.0346916,-596.6700354261,-596.6700354261,5.2452087E-08,0.1034359932,0.055245195,0,18.112415,-397.8156047281,0.4308065429,0
0.8753613604,26.2232568264,1575.5635576248,0.008740717,2.8765728,50,-0.044528335,1,-872.9650054737,0.0022115707,21.0852463245,1.0250288,-872.9650054737,-872.9650054737,-4.7683715E-09,0.0976922512,0.04452833,0,17.753325,-544.825962952,0.8730081053,0
0.8983666119,25.9683253765,1601.573589325,0.00657076,2.8604867,51,-0.04652837,1,-633.2094987952,0.0022101402,20.7960624695,1.0172213,-633.2094987952,-633.2094987952,4.7683715E-09,0.1019251347,0.046528373,0,17.470028,-415.3918463116,0.4644756872,0
